MATEST,MATESTCD,SPECIES,STRAIN,SEX,MASPEC,MASTRESC,MAFREQ,N
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE, STERNUM",EXAMINED/NO REMARKABLE FINDINGS,0.034090909,528
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE, STERNUM",UNREMARAKBLE,0.009469697,528
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE, TIBIA",UNREMARKABLE,1,15
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BONE, VERTEBRA",UNREMARKABLE,1,9
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,BRAIN,UNREMARKABLE,0.98024948,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,BRAIN,EXAMINED/NO REMARKABLE FINDINGS,0.018711019,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,BRAIN,LARGE VENTRICLES,0.001039501,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BRAIN, CEREBELLUM",UNREMARKABLE,1,6
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BRAIN, CEREBRUM",UNREMARKABLE,1,6
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BRAIN, MEDULLA OBLONGATA",UNREMARKABLE,1,6
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"BRAIN, OLFACTORY BULB",UNREMARKABLE,1,17
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,BRONCHUS,UNREMARKABLE,1,23
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,BRONCHUS-ASSOCIATED LYMPHOID TISSUE,UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,CARINA,UNREMARKABLE,1,10
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,CERVIX,UNREMARKABLE,0.948504983,602
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,CERVIX,EXAMINED/NO REMARKABLE FINDINGS,0.029900332,602
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,CERVIX,SWELLING,0.014950166,602
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,CERVIX,LARGE,0.003322259,602
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,CERVIX,THICK,0.00166113,602
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,CERVIX,SMALL,0.00166113,602
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"CONJUNCTIVA, BULBAR",UNREMARKABLE,1,72
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"CONJUNCTIVA, PALPEBRAL",UNREMARKABLE,1,150
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"DUCT, NASOLACRIMAL",UNREMARKABLE,0.545454545,11
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"DUCT, NASOLACRIMAL",,0.454545455,11
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,EAR,UNREMARKABLE,1,12
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,ESOPHAGUS,UNREMARKABLE,0.981269511,961
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,ESOPHAGUS,EXAMINED/NO REMARKABLE FINDINGS,0.018730489,961
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,EYE,UNREMARKABLE,0.979005525,905
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,EYE,EXAMINED/NO REMARKABLE FINDINGS,0.019889503,905
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,EYE,FOCUS,0.001104972,905
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,EYELID,UNREMARKABLE,1,189
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,FOOTPAD,UNREMARKABLE,1,6
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GALLBLADDER,UNREMARKABLE,0.969248292,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GALLBLADDER,EXAMINED/NO REMARKABLE FINDINGS,0.020501139,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GALLBLADDER,ABUNREMARKABLE CONTENT,0.003416856,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GALLBLADDER,ABUNREMARKABLE CONTENTS,0.002277904,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GALLBLADDER,BLACK DEPOSIT IN THE BILE,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GALLBLADDER,ABUNREMARKABLE APPEARANCE,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GALLBLADDER,CHANGE-IN-CONTENTS,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GALLBLADDER,CONTENTS:GRAVEL,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GANGLION, CERVICOTHORACIC",UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GANGLION, DORSAL ROOT",UNREMARKABLE,1,24
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GANGLION, TRIGEMINAL/NERVE, TRIGEMINAL",UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GINGIVA,UNREMARKABLE,1,12
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GLAND OF THE THIRD EYELID,UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, ADRENAL",UNREMARKABLE,0.975257732,970
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, ADRENAL",EXAMINED/NO REMARKABLE FINDINGS,0.018556701,970
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, ADRENAL",ABUNREMARKABLE APPEARANCE,0.002061856,970
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, ADRENAL",ABUNREMARKABLE SIZE,0.001030928,970
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, ADRENAL",ENLARGED,0.001030928,970
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, ADRENAL",CYST,0.001030928,970
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, ADRENAL",ABUNREMARKABLE SHAPE,0.001030928,970
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, HARDERIAN",UNREMARKABLE,1,11
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, LACRIMAL",UNREMARKABLE,1,403
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, MAMMARY",UNREMARKABLE,0.964324324,925
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, MAMMARY",EXAMINED/NO REMARKABLE FINDINGS,0.019459459,925
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, MAMMARY",PROEMINENT,0.004324324,925
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, MAMMARY",SWELLING,0.003243243,925
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, MAMMARY",SWOLLEN,0.003243243,925
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, MAMMARY",ABUNREMARKABLE COLOR,0.001081081,925
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, MAMMARY",DISCOLORED,0.001081081,925
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, MAMMARY",ABUNREMARKABLE CONSISTENCY,0.001081081,925
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, MAMMARY",INCREASED SIZE,0.001081081,925
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, MAMMARY",ABUNREMARKABLE COLOUR,0.001081081,925
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, PARATHYROID",UNREMARKABLE,0.973684211,684
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, PARATHYROID",EXAMINED/NO REMARKABLE FINDINGS,0.026315789,684
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, PITUITARY",UNREMARKABLE,0.95010395,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, PITUITARY",CYST,0.024948025,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, PITUITARY",EXAMINED/NO REMARKABLE FINDINGS,0.018711019,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, PITUITARY",DARK,0.001039501,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, PITUITARY",CYST(S),0.001039501,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, PITUITARY","CYST, PALE",0.001039501,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, PITUITARY",DISCOLORATION,0.001039501,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, PITUITARY","CYST, CLEAR, 1-3 MM",0.001039501,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, PITUITARY",,0.001039501,962
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, SALIVARY",UNREMARKABLE,0.903225806,186
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, SALIVARY",EXAMINED/NO REMARKABLE FINDINGS,0.096774194,186
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, SALIVARY, PAROTID",UNREMARKABLE,1,296
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, SALIVARY, SUBLINGUAL",UNREMARKABLE,1,256
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, SALIVARY, SUBMANDIBULAR",UNREMARKABLE,0.997429306,778
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, SALIVARY, SUBMANDIBULAR",SMALL SIZE,0.001285347,778
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, SALIVARY, SUBMANDIBULAR",ABUNREMARKABLE SHAPE,0.001285347,778
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, THYROID",UNREMARKABLE,0.962852897,673
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, THYROID",EXAMINED/NO REMARKABLE FINDINGS,0.026745914,673
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, THYROID",CYST,0.004457652,673
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, THYROID",OEDEMATOUS AREA,0.001485884,673
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, THYROID",PALE DISCOLORATION,0.001485884,673
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, THYROID",DARK,0.001485884,673
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, THYROID",ENLARGEMENT,0.001485884,673
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, THYROID/GLAND, PARATHYROID",UNREMARKABLE,0.992831541,279
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"GLAND, THYROID/GLAND, PARATHYROID",ABUNREMARKABLE SIZE,0.007168459,279
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GUT-ASSOCIATED LYMPHOID TISSUE,UNREMARKABLE,0.960352423,454
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,GUT-ASSOCIATED LYMPHOID TISSUE,EXAMINED/NO REMARKABLE FINDINGS,0.039647577,454
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,HEAD,UNREMARKABLE,1,6
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,HEART,UNREMARKABLE,0.978305785,968
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,HEART,EXAMINED/NO REMARKABLE FINDINGS,0.018595041,968
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,HEART,NODULE,0.001033058,968
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,HEART,CYST(S),0.001033058,968
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,HEART,DISCOLORATION,0.001033058,968
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,JOINT,EXAMINED/NO REMARKABLE FINDINGS,0.514285714,35
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,JOINT,UNREMARKABLE,0.485714286,35
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"JOINT, CARPUS",UNREMARKABLE,1,20
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"JOINT, ELBOW",UNREMARKABLE,1,20
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"JOINT, FEMOROTIBIAL",UNREMARKABLE,1,241
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"JOINT, TARSUS",UNREMARKABLE,1,20
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,UNREMARKABLE,0.962848297,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,EXAMINED/NO REMARKABLE FINDINGS,0.018575851,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,DISCOLORATION,0.005159959,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,PALE DISCOLORATION,0.002063983,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,PALE,0.001031992,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,CYST,0.001031992,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,MASS,0.001031992,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,DILATATION,0.001031992,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,ENLARGEMENT,0.001031992,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,ABUNREMARKABLE CONSISTENCY,0.001031992,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,FOCUS,0.001031992,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,ABUNREMARKABLE SHAPE,0.001031992,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,"FOCUS/FOCI, TAN",0.001031992,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,NOT PRESENT,0.001031992,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,KIDNEY,"FOCUS, DARK",0.001031992,969
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LARGE INTESTINE,UNREMARKABLE,1,8
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",UNREMARKABLE,0.94973822,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",EXAMINED/NO REMARKABLE FINDINGS,0.018848168,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",DARK,0.009424084,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",ABUNREMARKABLE AREA,0.004188482,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",FOCUS,0.003141361,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",RED,0.003141361,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",DISCOLORATION,0.003141361,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",DARK AREA(S),0.002094241,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",PALE DISCOLORATION,0.00104712,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",MASS,0.00104712,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",DARK AREA,0.00104712,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",INTUSSUSCEPTION,0.00104712,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",RED FOCUS,0.00104712,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM","DISCOLORATION, RED",0.00104712,955
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",UNREMARKABLE,0.949117342,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",EXAMINED/NO REMARKABLE FINDINGS,0.018691589,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",DISCOLORATION,0.009345794,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",FOCUS,0.005192108,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",STRIATION,0.005192108,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",DISCOLORED,0.004153686,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",DARK,0.002076843,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",PALE DISCOLORATION,0.001038422,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON","DISCOLORATION, RED AREA AT COLON-ILEUM JUNCTION 1MM X 3MM",0.001038422,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",MOTTLED,0.001038422,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",FOUND,0.001038422,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON","FOCUS, DARK",0.001038422,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",ABUNREMARKABLE AREA,0.001038422,963
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, RECTUM",UNREMARKABLE,0.987028302,848
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, RECTUM",FOCUS,0.003537736,848
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, RECTUM",ABUNREMARKABLE AREA,0.003537736,848
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, RECTUM","DISCOLORATION, RED",0.002358491,848
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, RECTUM",PALE DISCOLORATION,0.001179245,848
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, RECTUM",DARK AREA(S),0.001179245,848
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,"LARGE INTESTINE, RECTUM",DEPRESSED AREA,0.001179245,848
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LARYNX,UNREMARKABLE,0.952631579,380
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LARYNX,EXAMINED/NO REMARKABLE FINDINGS,0.047368421,380
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIP,NODULE,1,1
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,UNREMARKABLE,0.965831435,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,EXAMINED/NO REMARKABLE FINDINGS,0.020501139,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,ADHESION,0.002277904,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,PALE,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,"PALE AREA, MANY, (SUBMITTED WITH STANDARD SECTION)",0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,ABUNREMARKABLE COLOR,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,NODULE,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,SWELLING,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,ABUNREMARKABLE APPEARANCE,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,SMALL,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,DISCOLORED,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,MOTTLED,0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER,"DISCOLORATION, TAN",0.001138952,878
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LIVER/GALLBLADDER,UNREMARKABLE,1,89
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,UNREMARKABLE,0.924708378,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,EXAMINED/NO REMARKABLE FINDINGS,0.019088017,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,ADHESION,0.009544008,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,FOCUS,0.008483563,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,"DARK AREA, MANY",0.004241782,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,DISCOLORATION,0.003181336,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,ABUNREMARKABLE CONSISTENCY,0.003181336,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,INCOMPLETE COLLAPSE,0.003181336,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,MISSHAPEN,0.003181336,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,DISCOLORED,0.002120891,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,ABUNREMARKABLE COLOR,0.002120891,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,"DARK AREA, SINGLE",0.002120891,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,ABUNREMARKABLE AREA,0.002120891,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,"DARK AREA, FEW",0.002120891,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,ABUNREMARKABLE COLOUR,0.002120891,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,DISCOLORED AREA(S),0.002120891,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,"PALE AREA, FEW",0.001060445,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,DISCOLORATION RED,0.001060445,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,RED FOCUS,0.001060445,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,ABUNREMARKABLE APPEARANCE,0.001060445,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,DARK,0.001060445,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG,EMPHYSEMA,0.001060445,943
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG/BRONCHUS,UNREMARKABLE,0.946341463,205
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG/BRONCHUS,"WHITISH CHANGE, PARTIAL",0.014634146,205
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG/BRONCHUS,ADHESION,0.009756098,205
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG/BRONCHUS,PALE AREA(S),0.004878049,205
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG/BRONCHUS,FIRM,0.004878049,205
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG/BRONCHUS,SMALL,0.004878049,205
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG/BRONCHUS,PALE FOCUS,0.004878049,205
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG/BRONCHUS,IRREGULAR COLOR,0.004878049,205
Gross Pathological Examination,GROSPATH,DOG,BEAGLE,F,LUNG/BRONCHUS,CYST(S),0.004878049,205
