MITEST,MITESTCD,SPECIES,STRAIN,SEX,MISPEC,MISTRESC,MIRESCAT,MIFREQ,N
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRAIN,HEMORRHAGE,NON-NEOPLASTIC,0.003149606,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRAIN,PIGMENT,NON-NEOPLASTIC,0.003149606,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRAIN,VACUOLATION,NON-NEOPLASTIC,0.001574803,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRAIN,NECROSIS,NON-NEOPLASTIC,0.001574803,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRAIN,DILATATION,NON-NEOPLASTIC,0.001574803,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRAIN,INFLAMMATION,NON-NEOPLASTIC,0.001574803,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, AMYGDALOID BODY",UNREMARKABLE,,1,6
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, BRAIN STEM",UNREMARKABLE,,1,38
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, CEREBELLUM",UNREMARKABLE,,0.984375,64
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, CEREBELLUM",MICROGLIOSIS,NON-NEOPLASTIC,0.015625,64
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, CEREBRUM",UNREMARKABLE,,1,64
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, HIPPOCAMPUS",UNREMARKABLE,,1,6
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, HYPOTHALAMUS",UNREMARKABLE,,1,6
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, MEDULLA OBLONGATA",UNREMARKABLE,,0.827586207,29
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, MEDULLA OBLONGATA",MICROGLIOSIS,NON-NEOPLASTIC,0.068965517,29
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, MEDULLA OBLONGATA","DYSTROPHY, AXONAL",NON-NEOPLASTIC,0.068965517,29
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, MEDULLA OBLONGATA",INFILTRATE,NON-NEOPLASTIC,0.034482759,29
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, MIDBRAIN",UNREMARKABLE,,1,11
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, OLFACTORY BULB",UNREMARKABLE,,1,23
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, PONS",UNREMARKABLE,,1,10
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"BRAIN, THALAMUS",UNREMARKABLE,,1,6
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRONCHUS,UNREMARKABLE,,0.967741935,31
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRONCHUS,INFILTRATE,NON-NEOPLASTIC,0.032258065,31
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,BRONCHUS-ASSOCIATED LYMPHOID TISSUE,UNREMARKABLE,,1,4
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,CARINA,UNREMARKABLE,,0.5,6
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,CARINA,INFILTRATE,NON-NEOPLASTIC,0.5,6
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,CERVIX,UNREMARKABLE,,0.974736842,475
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,CERVIX,IMMATURITY,NON-NEOPLASTIC,0.012631579,475
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,CERVIX,DEGENERATION/NECROSIS,NON-NEOPLASTIC,0.004210526,475
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,CERVIX,EDEMA,NON-NEOPLASTIC,0.004210526,475
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,CERVIX,INFILTRATE,NON-NEOPLASTIC,0.002105263,475
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,CERVIX,HYPERPLASIA,NON-NEOPLASTIC,0.002105263,475
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"CONJUNCTIVA, BULBAR",UNREMARKABLE,,1,32
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"CONJUNCTIVA, PALPEBRAL",UNREMARKABLE,,1,67
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,CORPUS UTERI,UNREMARKABLE,,1,4
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"DUCT, NASOLACRIMAL",UNREMARKABLE,,1,11
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,ESOPHAGUS,UNREMARKABLE,,0.992753623,690
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,ESOPHAGUS,INFILTRATE,NON-NEOPLASTIC,0.005797101,690
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,ESOPHAGUS,EROSION,NON-NEOPLASTIC,0.001449275,690
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,EYE,UNREMARKABLE,,0.995839112,721
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,EYE,CYST,NON-NEOPLASTIC,0.001386963,721
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,EYE,ANOMALY,NON-NEOPLASTIC,0.001386963,721
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,EYE,INFILTRATE,NON-NEOPLASTIC,0.001386963,721
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,EYELID,UNREMARKABLE,,0.87804878,82
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,EYELID,INFILTRATE,NON-NEOPLASTIC,0.085365854,82
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,EYELID,PARASITE,NON-NEOPLASTIC,0.024390244,82
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,EYELID,HYPERKERATOSIS,NON-NEOPLASTIC,0.012195122,82
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,FOOTPAD,UNREMARKABLE,,1,6
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,GALLBLADDER,UNREMARKABLE,,0.980740741,675
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,GALLBLADDER,INFILTRATE,NON-NEOPLASTIC,0.014814815,675
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,GALLBLADDER,VACUOLATION,NON-NEOPLASTIC,0.002962963,675
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,GALLBLADDER,EDEMA,NON-NEOPLASTIC,0.001481481,675
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GANGLION, CERVICOTHORACIC",UNREMARKABLE,,1,5
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GANGLION, DORSAL ROOT",UNREMARKABLE,,0.902439024,41
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GANGLION, DORSAL ROOT","CELLULARITY, INCREASED",NON-NEOPLASTIC,0.073170732,41
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GANGLION, DORSAL ROOT","DYSTROPHY, AXONAL",NON-NEOPLASTIC,0.024390244,41
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GANGLION, TRIGEMINAL","CELLULARITY, INCREASED",NON-NEOPLASTIC,0.428571429,7
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GANGLION, TRIGEMINAL",UNREMARKABLE,,0.285714286,7
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GANGLION, TRIGEMINAL",DEGENERATION,NON-NEOPLASTIC,0.142857143,7
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GANGLION, TRIGEMINAL",INFILTRATE,NON-NEOPLASTIC,0.142857143,7
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GANGLION, TRIGEMINAL/NERVE, TRIGEMINAL",UNREMARKABLE,,1,5
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,GLAND OF THE THIRD EYELID,UNREMARKABLE,,1,5
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, ADRENAL",UNREMARKABLE,,0.965043695,801
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, ADRENAL",VACUOLATION,NON-NEOPLASTIC,0.029962547,801
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, ADRENAL",FATTY CHANGE,NON-NEOPLASTIC,0.002496879,801
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, ADRENAL",CYST,NON-NEOPLASTIC,0.001248439,801
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, ADRENAL",CONGESTION,NON-NEOPLASTIC,0.001248439,801
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, HARDERIAN",UNREMARKABLE,,1,10
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, LACRIMAL",UNREMARKABLE,,0.984771574,197
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, LACRIMAL",INFILTRATE,NON-NEOPLASTIC,0.015228426,197
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, MAMMARY",UNREMARKABLE,,0.948031496,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, MAMMARY",IMMATURITY,NON-NEOPLASTIC,0.02992126,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, MAMMARY",HEMORRHAGE,NON-NEOPLASTIC,0.009448819,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, MAMMARY",HYPERTROPHY/HYPERPLASIA,NON-NEOPLASTIC,0.004724409,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, MAMMARY",HYPERPLASIA,NON-NEOPLASTIC,0.003149606,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, MAMMARY",ECTASIA,NON-NEOPLASTIC,0.001574803,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, MAMMARY",INFLAMMATION,NON-NEOPLASTIC,0.001574803,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, MAMMARY",EDEMA,NON-NEOPLASTIC,0.001574803,635
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, PARATHYROID",UNREMARKABLE,,0.895071542,629
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, PARATHYROID",CYST,NON-NEOPLASTIC,0.103338633,629
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, PARATHYROID",DILATATION,NON-NEOPLASTIC,0.001589825,629
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, PITUITARY",UNREMARKABLE,,0.745185185,675
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, PITUITARY",CYST,NON-NEOPLASTIC,0.247407407,675
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, PITUITARY",DILATATION,NON-NEOPLASTIC,0.002962963,675
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, PITUITARY",VACUOLATION,NON-NEOPLASTIC,0.001481481,675
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, PITUITARY",EXTRAMEDULLARY HEMATOPOIESIS,NON-NEOPLASTIC,0.001481481,675
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, PITUITARY",INFILTRATE,NON-NEOPLASTIC,0.001481481,675
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY",UNREMARKABLE,,0.947826087,115
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY",INFILTRATE,NON-NEOPLASTIC,0.043478261,115
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY",ATROPHY,NON-NEOPLASTIC,0.008695652,115
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY, PAROTID",UNREMARKABLE,,0.936170213,94
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY, PAROTID",ATROPHY,NON-NEOPLASTIC,0.042553191,94
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY, PAROTID",INFILTRATE,NON-NEOPLASTIC,0.021276596,94
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY, SUBLINGUAL",UNREMARKABLE,,0.968253968,63
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY, SUBLINGUAL",ATROPHY,NON-NEOPLASTIC,0.015873016,63
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY, SUBLINGUAL",INFILTRATE,NON-NEOPLASTIC,0.015873016,63
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY, SUBMANDIBULAR",UNREMARKABLE,,0.968441815,507
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY, SUBMANDIBULAR",INFILTRATE,NON-NEOPLASTIC,0.029585799,507
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY, SUBMANDIBULAR",HYPOPLASIA,NON-NEOPLASTIC,0.001972387,507
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, SALIVARY, ZYGOMATIC",UNREMARKABLE,,1,5
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, THYROID",UNREMARKABLE,,0.965045593,658
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, THYROID",CYST,NON-NEOPLASTIC,0.016717325,658
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, THYROID",MINERALIZATION,NON-NEOPLASTIC,0.010638298,658
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, THYROID",INFILTRATE,NON-NEOPLASTIC,0.003039514,658
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, THYROID",HYPERPLASIA,NON-NEOPLASTIC,0.001519757,658
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, THYROID",HEMORRHAGE,NON-NEOPLASTIC,0.001519757,658
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, THYROID",ECTOPIC TISSUE,NON-NEOPLASTIC,0.001519757,658
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"GLAND, THYROID/GLAND, PARATHYROID",UNREMARKABLE,,1,9
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,GUT-ASSOCIATED LYMPHOID TISSUE,UNREMARKABLE,,1,267
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,HEART,UNREMARKABLE,,0.973412112,677
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,HEART,MINERALIZATION,NON-NEOPLASTIC,0.008862629,677
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,HEART,INFILTRATE,NON-NEOPLASTIC,0.004431315,677
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,HEART,DEGENERATION,NON-NEOPLASTIC,0.00295421,677
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,HEART,HYPERPLASIA,NON-NEOPLASTIC,0.00295421,677
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,HEART,DEGENERATION/NECROSIS,NON-NEOPLASTIC,0.001477105,677
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,HEART,HYPERTROPHY,NON-NEOPLASTIC,0.001477105,677
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,HEART,HEMORRHAGE,NON-NEOPLASTIC,0.001477105,677
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,HEART,INFLAMMATION,NON-NEOPLASTIC,0.001477105,677
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,HEART,ECTOPIC TISSUE,NON-NEOPLASTIC,0.001477105,677
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,JOINT,UNREMARKABLE,,1,6
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"JOINT, CARPUS",UNREMARKABLE,,1,10
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"JOINT, ELBOW",UNREMARKABLE,,1,9
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"JOINT, FEMOROTIBIAL",UNREMARKABLE,,0.971264368,174
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"JOINT, FEMOROTIBIAL",HYPERTROPHY/HYPERPLASIA,NON-NEOPLASTIC,0.028735632,174
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"JOINT, TARSUS",UNREMARKABLE,,1,10
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,UNREMARKABLE,,0.651428571,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,MINERALIZATION,NON-NEOPLASTIC,0.258571429,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,CAST,NON-NEOPLASTIC,0.018571429,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,INFILTRATE,NON-NEOPLASTIC,0.015714286,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,VACUOLATION,NON-NEOPLASTIC,0.01,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,BASOPHILIC TUBULE,NON-NEOPLASTIC,0.008571429,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,FIBROSIS,NON-NEOPLASTIC,0.005714286,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,GLOMERULOPATHY,NON-NEOPLASTIC,0.004285714,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,DEGENERATION/NECROSIS,NON-NEOPLASTIC,0.004285714,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,CYST,NON-NEOPLASTIC,0.004285714,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,DILATATION,NON-NEOPLASTIC,0.002857143,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,HYPERPLASIA,NON-NEOPLASTIC,0.002857143,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,HEMORRHAGE,NON-NEOPLASTIC,0.002857143,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,INFLAMMATION,NON-NEOPLASTIC,0.002857143,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,ANGIECTASIS,NON-NEOPLASTIC,0.001428571,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,BASOPHILIA,NON-NEOPLASTIC,0.001428571,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,REGENERATION,NON-NEOPLASTIC,0.001428571,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,PYELONEPHRITIS,NON-NEOPLASTIC,0.001428571,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,KIDNEY,"NEPHROBLASTOMA, MALIGNANT",MALIGNANT,0.001428571,700
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,LARGE COLON,UNREMARKABLE,,1,6
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,LARGE INTESTINE,UNREMARKABLE,,1,3
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",UNREMARKABLE,,0.979710145,690
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",CONGESTION,NON-NEOPLASTIC,0.005797101,690
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",HEMORRHAGE,NON-NEOPLASTIC,0.005797101,690
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",DILATATION,NON-NEOPLASTIC,0.002898551,690
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",NECROSIS,NON-NEOPLASTIC,0.001449275,690
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",ABSCESS,NON-NEOPLASTIC,0.001449275,690
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",INTUSSUSCEPTION,NON-NEOPLASTIC,0.001449275,690
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, CECUM",INFLAMMATION,NON-NEOPLASTIC,0.001449275,690
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",UNREMARKABLE,,0.985875706,708
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",CONGESTION,NON-NEOPLASTIC,0.007062147,708
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",HEMORRHAGE,NON-NEOPLASTIC,0.004237288,708
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, COLON",ABSCESS,NON-NEOPLASTIC,0.002824859,708
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, RECTUM",UNREMARKABLE,,0.988617886,615
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, RECTUM",CONGESTION,NON-NEOPLASTIC,0.004878049,615
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, RECTUM",HEMORRHAGE,NON-NEOPLASTIC,0.004878049,615
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,"LARGE INTESTINE, RECTUM",INFLAMMATION,NON-NEOPLASTIC,0.001626016,615
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,LARYNX,UNREMARKABLE,,0.950819672,244
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,LARYNX,INFILTRATE,NON-NEOPLASTIC,0.024590164,244
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,LARYNX,HYPERPLASIA,NON-NEOPLASTIC,0.016393443,244
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,LARYNX,DEGENERATION,NON-NEOPLASTIC,0.008196721,244
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,LIVER,UNREMARKABLE,,0.786713287,572
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,LIVER,INFILTRATE,NON-NEOPLASTIC,0.09965035,572
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,LIVER,PIGMENT,NON-NEOPLASTIC,0.013986014,572
Microscopic Examination,GHISTXQL,DOG,BEAGLE,F,LIVER,EXTRAMEDULLARY HEMATOPOIESIS,NON-NEOPLASTIC,0.013986014,572
