SPECIES,STRAIN,SEX,CLCAT,CLTEST,CLTESTCD,CLSTRESC,CLFREQ,N
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,APPEARANCE:LIMITED USE,0.000997862,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EYES:INJECTED SCLERA,0.000926586,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:EMESIS,0.00085531,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND PELAGE:DRY SKIN,0.00085531,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,APPEARANCE:RED,0.000712758,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN:ABUNREMARKABLE COLOR,0.000641483,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,"BEHAVIOR:SCRATCHING, AT THE DOSE SITE",0.000641483,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE:SOURCE KNOWN,0.000641483,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,LAST SITE DOSED:SUBCUTANEOUS,0.000641483,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,PHYSICAL APPEARANCE:THIN,0.000570207,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND PELAGE:THINNING HAIR COAT,0.000498931,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EXCRETION:NON-FORMED FECES,0.000498931,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR - OTHER:STRUGGLED DURING DOSING,0.000427655,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,LAST SITE DOSED:CEPHALIC VEIN,0.000427655,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EYES:SQUINTING,0.000427655,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,INJECTION/DERMAL SITE:CEPHALIC VEIN,0.000427655,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EXCRETION:LIQUID FECES,0.000356379,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:ANIMAL STRUGGLED EXCESSIVELY,0.000356379,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,APPEARANCE:TEETH,0.000356379,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR - OTHER:VOCALIZATION,0.000356379,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EXCRETION:VOMIT,0.000285103,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,VOMITUS:CONTAINING FOOD,0.000285103,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,APPEARANCE:HUNCHED POSTURE,0.000213828,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,APPEARANCE: SWOLLEN,0.000213828,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE:APPEARS TO BE MENSTRUATING,0.000213828,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,APPEARANCE:WARM TO TOUCH,0.000213828,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EYES:EXCESSIVE LACRIMATION,0.000213828,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND PELAGE:SCALY SKIN,0.000213828,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:HYPOACTIVE,0.000213828,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,APPEARANCE:TREMORS,0.000213828,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE:EAR,0.000213828,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:VOCALIZATION AFTER DOSING,0.000213828,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE:GENITAL,0.000142552,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,"BEHAVIOR:EXCESSIVE LICKING, AT DOSE SITE",0.000142552,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND FUR:THINNING FUR,0.000142552,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN:SORE,0.000142552,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EXCRETION:FECES,0.000142552,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,PHYSICAL APPEARANCE:SWOLLEN AREA,0.000142552,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE:SOURCE UNKNOWN,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:SUBDUED/SLUGGISH,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,UNSCHEDULED DEATH REASON:GENERAL DEBILITATION,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EYES:RUBBING,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:NOT EATING,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:STRUGGLED DURING ECG COLLECTIONS,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:SNAPPING/BITING,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EYES:SWOLLEN NICTITATING MEMBRANE,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE:ORAL,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,RESPIRATION:IRREGULAR,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN AND PELAGE:WARM TO TOUCH,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE:RED,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EXCRETION: DISCHARGE,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BEHAVIOR:TWITCHING,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EXCRETION: VOMIT,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EXCRETION:FECES UNREMARKABLE,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,APPEARANCE:HUNCHED,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,EYES:RED,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,PELAGE:THINNING,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,VOMITUS:FOAMY,7.13E-05,14030
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,UNREMARKABLE,0.971428571,35
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,LOOSE STOOL,0.028571429,35
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,UNREMARKABLE,0.744163424,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SWELLING,0.085603113,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,RASH,0.06614786,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,ABUNREMARKABLE STOOL,0.035992218,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,VAGINAL DISCHARGE,0.020428016,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,ABRASION(S),0.013618677,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SCAB,0.012645914,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SALIVATION,0.004863813,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SKIN DISCOLORED,0.004863813,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,INAPPETENCE,0.003891051,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,VOMITUS,0.002918288,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,THIN,0.001945525,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,MATERIAL IN PAN/BEDDING,0.000972763,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,TAIL DEVIATION,0.000972763,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,OCULAR DISCHARGE,0.000972763,1028
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,UNREMARKABLE,0.781521184,1959
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,HAIR THINNING,0.063297601,1959
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,SWOLLEN,0.031138336,1959
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,FECES,0.029096478,1959
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,BROKEN,0.019397652,1959
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,FECES LOOSE W/OUT UNREMARKABLE FECES,0.013272078,1959
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,DISCHARGE,0.011230219,1959
DOG,BEAGLE,F,CLINICAL SIGNS,CLINICAL OBSERVATION,CLINOBS,VETERINARY CARE,0.008677897,1959
